TableName;TableDescription;ColumnName;ColumnDescription
HFAGENP;Agent;GHACRE;Date de creation - annee
HFAGENP;Agent;GHAMAJ;Date de derniere mise a jour - annee
HFAGENP;Agent;GHCTAG;Code type d'agent
HFAGENP;Agent;GHCUAG;Code utilisateur Reflex de l'agent
HFAGENP;Agent;GHCUCR;Code utilisateur creation
HFAGENP;Agent;GHCUMJ;Code utilisateur derniere mise a jour
HFAGENP;Agent;GHDCRE;Date de creation
HFAGENP;Agent;GHDMAJ;Date de derniere mise a jour
HFAGENP;Agent;GHDSCS;Delai de scrutation en secondes
HFAGENP;Agent;GHHCRE;Heure de creation
HFAGENP;Agent;GHHMAJ;Heure de derniere mise a jour
HFAGENP;Agent;GHJCRE;Date de creation - jour
HFAGENP;Agent;GHJMAJ;Date de derniere mise a jour - jour
HFAGENP;Agent;GHLJCR;Libelle du jour de creation
HFAGENP;Agent;GHLJMJ;Libelle du jour de derniere mise a jour
HFAGENP;Agent;GHMCRE;Date de creation - mois
HFAGENP;Agent;GHMMAJ;Date de derniere mise a jour - mois
HFAGENP;Agent;GHNAGE;Numero d'agent
HFAGENP;Agent;GHNCOM;Numero de commentaire
HFAGENP;Agent;GHNFEV;Nom fichier environnement
HFAGENP;Agent;GHPPTR;Parametres du programme de traitement
HFAGENP;Agent;GHSCRE;Date de creation - siecle
HFAGENP;Agent;GHSMAJ;Date de derniere mise a jour - siecle
HFAGENP;Agent;GHTOPD;Top desactivation
HFAGENP;Agent;GHTSDA;Date-heure dernier passage dans le traitement
HFANENP;Annee environnement;NJANEN;Annee environnement
HFARCTP;Archivage des travaux soumis - systeme;EJCATO;Code archivage des travaux soumis
HFARCTP;Archivage des travaux soumis - systeme;EJLATO;Libelle archivage des travaux soumis
HFCNNXP;Connexions Reflex;NXACRE;Date de creation - annee
HFCNNXP;Connexions Reflex;NXACXD;Annee debut connexion
HFCNNXP;Connexions Reflex;NXACXF;Annee fin connexion
HFCNNXP;Connexions Reflex;NXAMAJ;Date de derniere mise a jour - annee
HFCNNXP;Connexions Reflex;NXCACT;Code activite
HFCNNXP;Connexions Reflex;NXCDPO;Code depot physique
HFCNNXP;Connexions Reflex;NXCSNM;Identifiant session connexion mere
HFCNNXP;Connexions Reflex;NXCSRV;Code serveur exploitation
HFCNNXP;Connexions Reflex;NXCSSN;Identifiant session
HFCNNXP;Connexions Reflex;NXCUCR;Code utilisateur creation
HFCNNXP;Connexions Reflex;NXCUMJ;Code utilisateur derniere mise a jour
HFCNNXP;Connexions Reflex;NXCUTI;Code utilisateur
HFCNNXP;Connexions Reflex;NXWUIDAPP;Wuid Application
HFCNNXP;Connexions Reflex;NXDCRE;Date de creation
HFCNNXP;Connexions Reflex;NXDMAJ;Date de derniere mise a jour
HFCNNXP;Connexions Reflex;NXWUIDSES;Wuid Session
HFCNNXP;Connexions Reflex;NXTSDERAC;"Zone non alimentee; ne pas l'utiliser"
HFCNNXP;Connexions Reflex;NXHCRE;Heure de creation
HFCNNXP;Connexions Reflex;NXHCXD;Heure  debut connexion
HFCNNXP;Connexions Reflex;NXHCXF;Heure fin connexion
HFCNNXP;Connexions Reflex;NXHMAJ;Heure de derniere mise a jour
HFCNNXP;Connexions Reflex;NXJCRE;Date de creation - jour
HFCNNXP;Connexions Reflex;NXJCXD;Jour debut connexion
HFCNNXP;Connexions Reflex;NXJCXF;Jour fin connexion
HFCNNXP;Connexions Reflex;NXJMAJ;Date de derniere mise a jour - jour
HFCNNXP;Connexions Reflex;NXLJCR;Libelle du jour de creation
HFCNNXP;Connexions Reflex;NXLJMJ;Libelle du jour de derniere mise a jour
HFCNNXP;Connexions Reflex;NXLPMC;Libelle pgm en cours
HFCNNXP;Connexions Reflex;NXMCRE;Date de creation - mois
HFCNNXP;Connexions Reflex;NXMCXD;Mois debut connexion
HFCNNXP;Connexions Reflex;NXMCXF;Mois fin connexion
HFCNNXP;Connexions Reflex;NXMMAJ;Date de derniere mise a jour - mois
HFCNNXP;Connexions Reflex;NXNOMI;Nom instance BD (Oracle)
HFCNNXP;Connexions Reflex;NXNTHR;Numero thread partie serveur java
HFCNNXP;Connexions Reflex;NXNUIN;Numero instance BD (Oracle)
HFCNNXP;Connexions Reflex;NXIDNOEUD;Id Noeud
HFCNNXP;Connexions Reflex;NXPGMC;Code pgm chaine en cours
HFCNNXP;Connexions Reflex;NXPIDC;N de processus client
HFCNNXP;Connexions Reflex;NXPIDS;N du processus serveur
HFCNNXP;Connexions Reflex;NXPOSC;Poste client
HFCNNXP;Connexions Reflex;NXSCRE;Date de creation - siecle
HFCNNXP;Connexions Reflex;NXSCXD;Siecle debut connexion
HFCNNXP;Connexions Reflex;NXSCXF;Siecle fin connexion
HFCNNXP;Connexions Reflex;NXSMAJ;Date de derniere mise a jour - siecle
HFCNNXP;Connexions Reflex;NXSPID;N processus BD
HFCNNXP;Connexions Reflex;NXSRVC;"Machine serveur client (RF; citrix)"
HFCNNXP;Connexions Reflex;NXTCEC;Top connexion en cours (active)
HFCNNXP;Connexions Reflex;NXTCER;Top connexion en erreur
HFCNNXP;Connexions Reflex;NXTCNX;Type de connexion
HFDSFIP;Description des fichiers;DFNCIN;Nom de la zone Code interne
HFDSFIP;Description des fichiers;DFNFIC;Nom du fichier
HFDSFIP;Description des fichiers;DFNLI3;Nom de la zone Libelle 3
HFDSFIP;Description des fichiers;DFNLIB;Nom de la zone Libelle
HFDSFIP;Description des fichiers;DFPSEL;Code programme de selection
HFECDEP;Ecarts detailles;J8ACRE;Date de creation - annee
HFECDEP;Ecarts detailles;J8AMAJ;Date de derniere mise a jour - annee
HFECDEP;Ecarts detailles;J8ANCA;Annee inventaire
HFECDEP;Ecarts detailles;J8C1EC;Code 1 emplacement inventaire
HFECDEP;Ecarts detailles;J8C2EC;Code 2 emplacement inventaire
HFECDEP;Ecarts detailles;J8C3EC;Code 3 emplacement inventaire
HFECDEP;Ecarts detailles;J8C4EC;Code 4 emplacement inventaire
HFECDEP;Ecarts detailles;J8C5EC;Code 5 emplacement inventaire
HFECDEP;Ecarts detailles;J8CACT;Code activite
HFECDEP;Ecarts detailles;J8CART;Code article
HFECDEP;Ecarts detailles;J8CDPO;Code depot physique
HFECDEP;Ecarts detailles;J8CINV;Code inventaire
HFECDEP;Ecarts detailles;J8CPCR;Code programme creation
HFECDEP;Ecarts detailles;J8CPMJ;Code programme derniere mise a jour
HFECDEP;Ecarts detailles;J8CRBA;Code reference de base article
HFECDEP;Ecarts detailles;J8CUCR;Code utilisateur creation
HFECDEP;Ecarts detailles;J8CUMJ;Code utilisateur derniere mise a jour
HFECDEP;Ecarts detailles;J8CVLA;Code variante logistique article
HFECDEP;Ecarts detailles;J8CZIV;Code zone d'inventaire
HFECDEP;Ecarts detailles;J8DCRE;Date de creation
HFECDEP;Ecarts detailles;J8DINV;Date inventaire
HFECDEP;Ecarts detailles;J8DMAJ;Date de derniere mise a jour
HFECDEP;Ecarts detailles;J8HCRE;Heure de creation
HFECDEP;Ecarts detailles;J8HMAJ;Heure de derniere mise a jour
HFECDEP;Ecarts detailles;J8JCRE;Date de creation - jour
HFECDEP;Ecarts detailles;J8JMAJ;Date de derniere mise a jour - jour
HFECDEP;Ecarts detailles;J8JOCA;Jour inventaire
HFECDEP;Ecarts detailles;J8LJCR;Libelle (3) du jour de creation
HFECDEP;Ecarts detailles;J8LJIV;Libelle jour inventaire
HFECDEP;Ecarts detailles;J8LJMJ;Libelle (3) du jour de derniere mise a jour
HFECDEP;Ecarts detailles;J8MCRE;Date de creation - mois
HFECDEP;Ecarts detailles;J8MMAJ;Date de derniere mise a jour - mois
HFECDEP;Ecarts detailles;J8MOCA;Mois inventaire
HFECDEP;Ecarts detailles;J8MTDE;Montant ecart valorise detaille
HFECDEP;Ecarts detailles;J8NANN;Numero d'annee
HFECDEP;Ecarts detailles;J8NDEC;Numero demande calcul d'ecarts
HFECDEP;Ecarts detailles;J8NEMP;Numero emplacement
HFECDEP;Ecarts detailles;J8NSUP;Numero du support
HFECDEP;Ecarts detailles;J8Q1CM;Quantite comptable niveau 1
HFECDEP;Ecarts detailles;J8Q1EC;Quantite ecart niveau 1
HFECDEP;Ecarts detailles;J8Q1PH;Quantite physique niveau 1
HFECDEP;Ecarts detailles;J8Q1RE;Quantite relevee niveau1
HFECDEP;Ecarts detailles;J8Q2CM;Quantite comptable niveau 2
HFECDEP;Ecarts detailles;J8Q2EC;Quantite ecart niveau 2
HFECDEP;Ecarts detailles;J8Q2PH;Quantite physique niveau 2
HFECDEP;Ecarts detailles;J8Q2RE;Quantite relevee niveau 2
HFECDEP;Ecarts detailles;J8Q3CM;Quantite comptable niveau 3
HFECDEP;Ecarts detailles;J8Q3EC;Quantite ecart niveau 3
HFECDEP;Ecarts detailles;J8Q3PH;Quantite physique niveau 3
HFECDEP;Ecarts detailles;J8Q3RE;Quantite relevee niveau 3
HFECDEP;Ecarts detailles;J8QBCM;Quantite comptable en VL de base
HFECDEP;Ecarts detailles;J8QBEC;Quantite ecart en VL de base
HFECDEP;Ecarts detailles;J8QBPH;Quantite physique en VL de base
HFECDEP;Ecarts detailles;J8QBRE;Quantite relevee en VL de base
HFECDEP;Ecarts detailles;J8QGCM;Quantite comptable en VL de gestion
HFECDEP;Ecarts detailles;J8QGEC;Quantite ecart en VL de gestion
HFECDEP;Ecarts detailles;J8QGPH;Quantite physique en VL de gestion
HFECDEP;Ecarts detailles;J8QGRE;Quantite relevee en VL de gestion
HFECDEP;Ecarts detailles;J8SCRE;Date de creation - siecle
HFECDEP;Ecarts detailles;J8SMAJ;Date de derniere mise a jour - siecle
HFECDEP;Ecarts detailles;J8SSCA;Siecle inventaire
HFECENP;Entete des demandes de calcul d'ecarts;JEACRE;Date de creation - annee
HFECENP;Entete des demandes de calcul d'ecarts;JEADEC;Annee demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JEAMAJ;Date de derniere mise a jour - annee
HFECENP;Entete des demandes de calcul d'ecarts;JECPCR;Code programme creation
HFECENP;Entete des demandes de calcul d'ecarts;JECPMJ;Code programme derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JECUCR;Code utilisateur creation
HFECENP;Entete des demandes de calcul d'ecarts;JECUMJ;Code utilisateur derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JECUTI;Code utilisateur
HFECENP;Entete des demandes de calcul d'ecarts;JEDCRE;Date de creation
HFECENP;Entete des demandes de calcul d'ecarts;JEDDEC;Date demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JEDMAJ;Date de derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JEEMIN;Ecart minimum
HFECENP;Entete des demandes de calcul d'ecarts;JEHCRE;Heure de creation
HFECENP;Entete des demandes de calcul d'ecarts;JEHDEC;Heure demande calcul d'ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JEHMAJ;Heure de derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JEJCRE;Date de creation - jour
HFECENP;Entete des demandes de calcul d'ecarts;JEJDEC;Jour demande calcul d'ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JEJMAJ;Date de derniere mise a jour - jour
HFECENP;Entete des demandes de calcul d'ecarts;JELJCE;Libelle (3) du jour calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JELJCR;Libelle (3) du jour de creation
HFECENP;Entete des demandes de calcul d'ecarts;JELJMJ;Libelle (3) du jour de derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JEMCRE;Date de creation - mois
HFECENP;Entete des demandes de calcul d'ecarts;JEMDEC;Mois demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JEMMAJ;Date de derniere mise a jour - mois
HFECENP;Entete des demandes de calcul d'ecarts;JENANN;Numero d'annee
HFECENP;Entete des demandes de calcul d'ecarts;JENDEC;Numero demande calcul d'ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JESCRE;Date de creation - siecle
HFECENP;Entete des demandes de calcul d'ecarts;JESDEC;Siecle demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JESMAJ;Date de derniere mise a jour - siecle
HFECENP;Entete des demandes de calcul d'ecarts;JETESK;Top ecart sur stock
HFECENP;Entete des demandes de calcul d'ecarts;JETIME;Top impression des ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JETMAQ;Top mode d'affichage des quantites
HFECENP;Entete des demandes de calcul d'ecarts;JETTRI;Top tri
HFECINP;Liste des inventaires selectionnes;J1ACRE;Date de creation - annee
HFECINP;Liste des inventaires selectionnes;J1AMAJ;Date de derniere mise a jour - annee
HFECINP;Liste des inventaires selectionnes;J1ANCA;Annee inventaire
HFECINP;Liste des inventaires selectionnes;J1CDPO;Code depot physique
HFECINP;Liste des inventaires selectionnes;J1CINV;Code inventaire
HFECINP;Liste des inventaires selectionnes;J1CPCR;Code programme creation
HFECINP;Liste des inventaires selectionnes;J1CPMJ;Code programme derniere mise a jour
HFECINP;Liste des inventaires selectionnes;J1CUCR;Code utilisateur creation
HFECINP;Liste des inventaires selectionnes;J1CUMJ;Code utilisateur derniere mise a jour
HFECINP;Liste des inventaires selectionnes;J1DCRE;Date de creation
HFECINP;Liste des inventaires selectionnes;J1DINV;Date inventaire
HFECINP;Liste des inventaires selectionnes;J1DMAJ;Date de derniere mise a jour
HFECINP;Liste des inventaires selectionnes;J1HCRE;Heure de creation
HFECINP;Liste des inventaires selectionnes;J1HMAJ;Heure de derniere mise a jour
HFECINP;Liste des inventaires selectionnes;J1JCRE;Date de creation - jour
HFECINP;Liste des inventaires selectionnes;J1JMAJ;Date de derniere mise a jour - jour
HFECINP;Liste des inventaires selectionnes;J1JOCA;Jour inventaire
HFECINP;Liste des inventaires selectionnes;J1LJCR;Libelle (3) du jour de creation
HFECINP;Liste des inventaires selectionnes;J1LJIV;Libelle jour inventaire
HFECINP;Liste des inventaires selectionnes;J1LJMJ;Libelle (3) du jour de derniere mise a jour
HFECINP;Liste des inventaires selectionnes;J1MCRE;Date de creation - mois
HFECINP;Liste des inventaires selectionnes;J1MMAJ;Date de derniere mise a jour - mois
HFECINP;Liste des inventaires selectionnes;J1MOCA;Mois  inventaire
HFECINP;Liste des inventaires selectionnes;J1NANN;Numero d'annee
HFECINP;Liste des inventaires selectionnes;J1NDEC;Numero demande calcul d'ecarts
HFECINP;Liste des inventaires selectionnes;J1SCRE;Date de creation - siecle
HFECINP;Liste des inventaires selectionnes;J1SMAJ;Date de derniere mise a jour - siecle
HFECINP;Liste des inventaires selectionnes;J1SSCA;Siecle inventaire
HFECNDP;Ecarts non detailles;J9ACRE;Date de creation - annee
HFECNDP;Ecarts non detailles;J9LJECACTR;Libelle (3) du jour de creation
HFECNDP;Ecarts non detailles;J9AMAJ;Date de derniere mise a jour - annee
HFECNDP;Ecarts non detailles;J9CACT;Code activite
HFECNDP;Ecarts non detailles;J9UTIECACT;L'utilisateur qui a realise le controle d'ecart
HFECNDP;Ecarts non detailles;J9CART;Code article
HFECNDP;Ecarts non detailles;J9CPCR;Code programme creation
HFECNDP;Ecarts non detailles;J9CPMJ;Code programme derniere mise a jour
HFECNDP;Ecarts non detailles;J9CRBA;Code reference de base article
HFECNDP;Ecarts non detailles;J9AECACTRL;Date ecart controle - annee
HFECNDP;Ecarts non detailles;J9DECACTRL;Date ecart controle
HFECNDP;Ecarts non detailles;J9HECACTRL;Date ecart controle - heure
HFECNDP;Ecarts non detailles;J9JECACTRL;Date ecart controle - jour
HFECNDP;Ecarts non detailles;J9MECACTRL;Date ecart controle - mois
HFECNDP;Ecarts non detailles;J9SECACTRL;Date ecart controle - siecle
HFECNDP;Ecarts non detailles;J9TECACTRL;Top ecart coantrole
HFECNDP;Ecarts non detailles;J9CUCR;Code utilisateur creation
HFECNDP;Ecarts non detailles;J9CUMJ;Code utilisateur derniere mise a jour
HFECNDP;Ecarts non detailles;J9CVLA;Code variante logistique article
HFECNDP;Ecarts non detailles;J9DCRE;Date de creation
HFECNDP;Ecarts non detailles;J9DMAJ;Date de derniere mise a jour
HFECNDP;Ecarts non detailles;J9HCRE;Heure de creation
HFECNDP;Ecarts non detailles;J9HMAJ;Heure de derniere mise a jour
HFECNDP;Ecarts non detailles;J9JCRE;Date de creation - jour
HFECNDP;Ecarts non detailles;J9JMAJ;Date de derniere mise a jour - jour
HFECNDP;Ecarts non detailles;J9LJCR;Libelle (3) du jour de creation
HFECNDP;Ecarts non detailles;J9LJMJ;Libelle (3) du jour de derniere mise a jour
HFECNDP;Ecarts non detailles;J9MCRE;Date de creation - mois
HFECNDP;Ecarts non detailles;J9MMAJ;Date de derniere mise a jour - mois
HFECNDP;Ecarts non detailles;J9MNDE;Montant ecart valorise non detaille
HFECNDP;Ecarts non detailles;J9NANN;Numero d'annee
HFECNDP;Ecarts non detailles;J9NDEC;Numero demande calcul d'ecarts
HFECNDP;Ecarts non detailles;J9Q1NC;Quantite comptable  non detaille niveau 1
HFECNDP;Ecarts non detailles;J9Q1NE;Quantite ecart non detaille niveau 1
HFECNDP;Ecarts non detailles;J9Q1NH;Quantite physique non detaille niveau 1
HFECNDP;Ecarts non detailles;J9Q1NR;Quantite relevee  non detaille niveau 1
HFECNDP;Ecarts non detailles;J9Q2NC;Quantite comptable  non detaille niveau 2
HFECNDP;Ecarts non detailles;J9Q2NE;Quantite ecart non detaille niveau 2
HFECNDP;Ecarts non detailles;J9Q2NH;Quantite physique non detaille niveau 2
HFECNDP;Ecarts non detailles;J9Q2NR;Quantite relevee  non detaille niveau 2
HFECNDP;Ecarts non detailles;J9Q3NC;Quantite comptable  non detaille niveau 3
HFECNDP;Ecarts non detailles;J9Q3NE;Quantite ecart non detaille niveau 3
HFECNDP;Ecarts non detailles;J9Q3NH;Quantite physique non detaille niveau 3
HFECNDP;Ecarts non detailles;J9Q3NR;Quantite relevee  non detaille niveau 3
HFECNDP;Ecarts non detailles;J9QBNC;Quantite comptable  non detaille en VL de base
HFECNDP;Ecarts non detailles;J9QBNE;Quantite ecart non detaille en VL de base
HFECNDP;Ecarts non detailles;J9QBNH;Quantite physique non detaille en VL de base
HFECNDP;Ecarts non detailles;J9QBNR;Quantite relevee non detaille en VL de base
HFECNDP;Ecarts non detailles;J9QGNC;Quantite comptable  non detaille en VL de gestion
HFECNDP;Ecarts non detailles;J9QGNE;Quantite ecart non detaille en VL de gestion
HFECNDP;Ecarts non detailles;J9QGNH;Quantite physique  non detaille en VL de gestion
HFECNDP;Ecarts non detailles;J9QGNR;Quantite relevee  non detaille en VL de gestion
HFECNDP;Ecarts non detailles;J9SCRE;Date de creation - siecle
HFECNDP;Ecarts non detailles;J9SMAJ;Date de derniere mise a jour - siecle
HFEMCTP;Controleurs pour l'informatique embarquee;B9ACRE;Date de creation - annee
HFEMCTP;Controleurs pour l'informatique embarquee;B9ADIP;Adresse IP
HFEMCTP;Controleurs pour l'informatique embarquee;B9CMAC;Code machine
HFEMCTP;Controleurs pour l'informatique embarquee;B9CUCR;Code utilisateur creation
HFEMCTP;Controleurs pour l'informatique embarquee;B9CUTI;Code utilisateur
HFEMCTP;Controleurs pour l'informatique embarquee;B9DCRE;Date de creation
HFEMCTP;Controleurs pour l'informatique embarquee;B9ETCN;Code etat connexion
HFEMCTP;Controleurs pour l'informatique embarquee;B9HCRE;Heure de creation
HFEMCTP;Controleurs pour l'informatique embarquee;B9JCRE;Date de creation - jour
HFEMCTP;Controleurs pour l'informatique embarquee;B9LJCR;Libelle du jour de creation
HFEMCTP;Controleurs pour l'informatique embarquee;B9MCRE;Date de creation - mois
HFEMCTP;Controleurs pour l'informatique embarquee;B9NPRC;Numero de process
HFEMCTP;Controleurs pour l'informatique embarquee;B9PTEC;Numero de port d'ecoute controleur
HFEMCTP;Controleurs pour l'informatique embarquee;B9SCRE;Date de creation - siecle
HFFCPGP;Fonctions disponibles programme;XFCLGF;Code langue windows
HFFCPGP;Fonctions disponibles programme;XFLIBF;Libelle fonction programme
HFFCPGP;Fonctions disponibles programme;XFNORD;Numero d'ordre de la fonction
HFFCPGP;Fonctions disponibles programme;XFNUMF;Numero fonction programme
HFFCPGP;Fonctions disponibles programme;XFPGFC;Code programme
HFFEXTP;Famille d'exclusion des trv soumis (A NE PAS GEN);EKCFET;Code famille exclusion des travaux soumis
HFIMAGP;Fichier global des images;XVACRE;Date de creation - annee
HFIMAGP;Fichier global des images;XVAMAJ;Date de derniere mise a jour - annee
HFIMAGP;Fichier global des images;XVCACT;Code activite
HFIMAGP;Fichier global des images;XVCDPL;Code depot logique
HFIMAGP;Fichier global des images;XVCDPO;Code depot physique
HFIMAGP;Fichier global des images;XVCFIC;Code fichier
HFIMAGP;Fichier global des images;XVCUCR;Code utilisateur creation
HFIMAGP;Fichier global des images;XVCUMJ;Code utilisateur derniere mise a jour
HFIMAGP;Fichier global des images;XVDCRE;Date de creation
HFIMAGP;Fichier global des images;XVDMAJ;Date de derniere mise a jour
HFIMAGP;Fichier global des images;XVHCRE;Heure de creation
HFIMAGP;Fichier global des images;XVHMAJ;Heure de derniere mise a jour
HFIMAGP;Fichier global des images;XVICON;Icone
HFIMAGP;Fichier global des images;XVIDFI;Identifiant L1 du fichier
HFIMAGP;Fichier global des images;XVIMAG;Image
HFIMAGP;Fichier global des images;XVJCRE;Date de creation - jour
HFIMAGP;Fichier global des images;XVJMAJ;Date de derniere mise a jour - jour
HFIMAGP;Fichier global des images;XVLJCR;Libelle du jour de creation
HFIMAGP;Fichier global des images;XVLJMJ;Libelle du jour de derniere mise a jour
HFIMAGP;Fichier global des images;XVMCRE;Date de creation - mois
HFIMAGP;Fichier global des images;XVMMAJ;Date de derniere mise a jour - mois
HFIMAGP;Fichier global des images;XVSCRE;Date de creation - siecle
HFIMAGP;Fichier global des images;XVSMAJ;Date de derniere mise a jour - siecle
HFIMAGP;Fichier global des images;XVTOIC;Top image centree
HFISEXP;Interface en sortie extraits;JXCAPP;Code application
HFISEXP;Interface en sortie extraits;JXCINE;Code interface
HFISEXP;Interface en sortie extraits;JXCRIE;Code rubrique interface en entree
HFISEXP;Interface en sortie extraits;JXDSIE;Donnee standard interface en entree
HFISEXP;Interface en sortie extraits;JXNSIE;Numero de sequence interface en entree
HFISTAP;Automate : info pour demarrer;ISACRE;Date de creation - annee
HFISTAP;Automate : info pour demarrer;ISAMAJ;Date de derniere mise a jour - annee
HFISTAP;Automate : info pour demarrer;ISTOPAUTS;Top automate standard
HFISTAP;Automate : info pour demarrer;ISCACT;Code activite
HFISTAP;Automate : info pour demarrer;ISCDPO;Code depot physique
HFISTAP;Automate : info pour demarrer;ISCUCR;Code utilisateur creation
HFISTAP;Automate : info pour demarrer;ISCUMJ;Code utilisateur derniere mise a jour
HFISTAP;Automate : info pour demarrer;ISDCRE;Date de creation
HFISTAP;Automate : info pour demarrer;ISDMAJ;Date de derniere mise a jour
HFISTAP;Automate : info pour demarrer;ISTSDEBTR;Date-heure de debut periode de traitement
HFISTAP;Automate : info pour demarrer;ISHCRE;Heure de creation
HFISTAP;Automate : info pour demarrer;ISHMAJ;Heure de derniere mise a jour
HFISTAP;Automate : info pour demarrer;ISTSFINTR;Date-heure de fin de periode de traitement
HFISTAP;Automate : info pour demarrer;ISJCRE;Date de creation - jour
HFISTAP;Automate : info pour demarrer;ISJMAJ;Date de derniere mise a jour - jour
HFISTAP;Automate : info pour demarrer;ISLDAA;LDA particuliere du pgm
HFISTAP;Automate : info pour demarrer;ISLJCR;Libelle du jour de creation
HFISTAP;Automate : info pour demarrer;ISLJMJ;Libelle du jour de derniere mise a jour
HFISTAP;Automate : info pour demarrer;ISMCRE;Date de creation - mois
HFISTAP;Automate : info pour demarrer;ISMMAJ;Date de derniere mise a jour - mois
HFISTAP;Automate : info pour demarrer;ISNBMINFRQ;Frequence en minutes
HFISTAP;Automate : info pour demarrer;ISNSEQ;N sequence
HFISTAP;Automate : info pour demarrer;ISPARM;Parametres de pgm formates
HFISTAP;Automate : info pour demarrer;ISPAUT;Nom automate a redemarrer
HFISTAP;Automate : info pour demarrer;ISPCAU;Nom du poste client si automate en cours
HFISTAP;Automate : info pour demarrer;ISPCLA;N Pid client si automate en cours
HFISTAP;Automate : info pour demarrer;ISCTYPTRT;Code type de traitement
HFISTAP;Automate : info pour demarrer;ISTSPRCEX;Date-heure de prochaine execution
HFISTAP;Automate : info pour demarrer;ISSCRE;Date de creation - siecle
HFISTAP;Automate : info pour demarrer;ISSMAJ;Date de derniere mise a jour - siecle
HFISTAP;Automate : info pour demarrer;ISTAUT;Top demarrage en automatique (utilise par HFSTAR)
HFISTOP;Automate : informations pour l'arret;ISACRE;Date de creation - annee
HFISTOP;Automate : informations pour l'arret;ISAMAJ;Date de derniere mise a jour - annee
HFISTOP;Automate : informations pour l'arret;ISCPAU;Programme automate
HFISTOP;Automate : informations pour l'arret;ISCUCR;Code utilisateur creation
HFISTOP;Automate : informations pour l'arret;ISCUMJ;Code utilisateur derniere mise a jour
HFISTOP;Automate : informations pour l'arret;ISDCRE;Date de creation
HFISTOP;Automate : informations pour l'arret;ISDMAJ;Date de derniere mise a jour
HFISTOP;Automate : informations pour l'arret;ISHCRE;Heure de creation
HFISTOP;Automate : informations pour l'arret;ISHMAJ;Heure de derniere mise a jour
HFISTOP;Automate : informations pour l'arret;ISJCRE;Date de creation - jour
HFISTOP;Automate : informations pour l'arret;ISJMAJ;Date de derniere mise a jour - jour
HFISTOP;Automate : informations pour l'arret;ISLJCR;Libelle du jour de creation
HFISTOP;Automate : informations pour l'arret;ISLJMJ;Libelle du jour de derniere mise a jour
HFISTOP;Automate : informations pour l'arret;ISMCRE;Date de creation - mois
HFISTOP;Automate : informations pour l'arret;ISMMAJ;Date de derniere mise a jour - mois
HFISTOP;Automate : informations pour l'arret;ISNTAB;Nom table parametres arret
HFISTOP;Automate : informations pour l'arret;ISSCRE;Date de creation - siecle
HFISTOP;Automate : informations pour l'arret;ISSMAJ;Date de derniere mise a jour - siecle
HFISTOP;Automate : informations pour l'arret;ISTYZ1;Type de la zone1
HFISTOP;Automate : informations pour l'arret;ISTYZ2;Type de la zone2
HFISTOP;Automate : informations pour l'arret;ISTYZ3;Type de la zone3
HFISTOP;Automate : informations pour l'arret;ISTZMO;Type zone a modifier
HFISTOP;Automate : informations pour l'arret;ISVAZ1;Valeur zone1 a tester
HFISTOP;Automate : informations pour l'arret;ISVAZ2;Valeur zone 2 a tester
HFISTOP;Automate : informations pour l'arret;ISVAZ3;Valeur zone 3 a tester
HFISTOP;Automate : informations pour l'arret;ISVSTA;Valeur redemarrrage
HFISTOP;Automate : informations pour l'arret;ISVSTO;Valeur pour demande arret
HFISTOP;Automate : informations pour l'arret;ISZ1WH;Zone 1 clause where
HFISTOP;Automate : informations pour l'arret;ISZ2WH;Zone 2 clause where
HFISTOP;Automate : informations pour l'arret;ISZ3WH;Zone 3 de la clause where
HFISTOP;Automate : informations pour l'arret;ISZMOD;Nom zone a modifier
HFKERNP;Kernel Reflex;KERCKERNEL;Code kernel Reflex
HFKERNP;Kernel Reflex;KERDMISDIS;Date (8) de mise a disposition
HFMACHP;Machine (PC);NAACRE;Date de creation - annee
HFMACHP;Machine (PC);NAAMAJ;Date de derniere mise a jour - annee
HFMACHP;Machine (PC);NACMAC;Code machine
HFMACHP;Machine (PC);NACUCR;Code utilisateur creation
HFMACHP;Machine (PC);NACUMJ;Code utilisateur derniere mise a jour
HFMACHP;Machine (PC);NADCRE;Date de creation
HFMACHP;Machine (PC);NADMAJ;Date de derniere mise a jour
HFMACHP;Machine (PC);NAHCRE;Heure de creation
HFMACHP;Machine (PC);NAHMAJ;Heure de derniere mise a jour
HFMACHP;Machine (PC);NAJCRE;Date de creation - jour
HFMACHP;Machine (PC);NAJMAJ;Date de derniere mise a jour - jour
